PolicyInsuredPropertyAge,PolicyInsuredPropertyRoofAge,Avg. Corrected Incurred Indemnity
64,13,14984.75
64,12,3754.5
64,11,9491.21
64,10,0
64,9,0
64,8,13401.523333333
64,7,131447
64,5,15652.213333333
64,4,1474.17
64,2,6749.9
65,25,0
65,24,7194
65,22,6056.235
65,20,3703.38
65,19,15130.08
65,18,24954.185
65,16,1685.305
65,14,4012.135
65,13,4288.525
65,12,8800.435
65,10,0
65,9,5405.3
65,6,13532.4
65,5,4974.42
65,3,3267.42
65,2,8212.7225
66,25,60451
66,22,0
66,20,2622.24
66,18,7500
66,17,0
66,16,35873.865
66,15,4562.3275
66,14,0
66,12,12432.67
66,11,1594.625
66,10,46000
66,8,10716.476
66,7,7770.88
66,5,0
66,3,0
66,1,10039.59
67,44,0
67,26,105000
67,22,1650.935
67,20,3548.62
67,18,0
67,17,4142.873333333
67,16,5581.88
67,15,0
67,14,1477.746666667
67,13,16673.4425
67,10,10873.4975
67,9,0
67,8,0
67,7,2500
67,6,500
67,5,0
68,33,0
68,24,18218.11
68,22,0
68,20,4708.1
68,19,426.095
68,18,0
68,15,160.256666667
68,14,0
68,13,6686.57
68,11,0
68,10,843.96
68,9,10781.47
68,7,0
68,6,666.666666667
68,4,0
68,3,0
68,2,1706.94
69,28,0
69,27,500
69,18,1192.43
69,17,6088.415
69,16,6695.71
69,15,46767.426666667
69,14,12891.892
69,13,0
69,12,0
69,9,0
69,8,0
69,7,0
69,6,2631.67
69,3,3078.4
69,1,0
70,22,7729.99
70,17,9781.53
70,16,0
70,12,55287.6
70,2,119048.52
71,44,0
71,21,0
71,20,57015.596666667
71,19,1500
71,17,117914.915
71,15,16111.925
71,13,0
71,12,0
71,11,6064.42
71,8,17148.14
72,26,0
72,22,6645.49
72,19,7029.49
72,17,477.585
72,16,3199.71
72,15,74000
72,14,7297.57
72,13,3427.27
72,12,10000
72,10,13799.94
72,9,5505.073333333
72,8,1790.07
72,6,4911.385
72,5,2510.77
73,24,28297.32
73,22,0
73,17,0
73,16,1085.03
73,14,878.12
73,7,16197.68
73,4,5172
74,21,30734.64
74,19,12395.62
74,18,4224.41
74,11,3250.7
74,9,960.07
74,4,6011.03
75,14,7436.82
